Hello,Hey!
Hello,Hi there!
Hello,Hey!
what%20date%20is%20it%20today?,The time is now 3:38 PM EST
what%20day?,"Today is Wednesday, 11/29/2023"
Hello,Hi there!
hello,It's nice to see you!
what%20is%20your%20name?,Lexxy.
how%20old%20are%20you?,Lexxy is forever young.
What%20music%20do%20you%20like?,In the galaxy far far away... But currently on my spaceship.
Hello,Hi there!
Hello,Hi there!
Hello,It's nice to see you!
Hello,Hey!
Hello,Hello to you!
Hello,It's nice to see you!
hey,I'm not sure about that.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=hey'>hey</a>
Hello,It's nice to see you!
Hello,Hi there!
hey,I will have to give that some thought.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=hey'>hey</a>
Hello,Hello to you!
hey,There are some things I just don't know about yet.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=hey'>hey</a>
what%20music%20do%20you%20like,"I like different music, but mainly good."
Hello,Hi there!
hey,I'm not sure about that.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=hey'>hey</a>
Hello,Hey!
hey,Nice to see you.
